"","Company.Name","Category.Groups","Headquarters.Location","Status","Closed.Date","Founded.Date","Number.of.Articles","Categories","Number.of.Employees","Number.of.Founders","Number.of.Funding.Rounds","Last.Funding.Date","Last.Funding.Amount","Last.Funding.Type","Last.Equity.Funding.Amount","Total.Equity.Funding.Amount","Total.Funding.Amount","Number.of.Investors","Number.of.Lead.Investors","Stock.Exchange","Stock.Symbol","Valuation.at.IPO","Money.Raised.at.IPO","IPO.Date"
"6627","Startup Centro Promozione",,"Lugano, Ticino, Switzerland","Operating",,2003-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6628","StartUp Arabia",,,"Operating",,2008-03-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6629","Sciant",,,"Operating",,,,,"11-50",0,,,0,,0,0,0,,,,,,,
"6630","Saankhya Labs",,"Bangalore, Karnataka, India","Operating",,2006-12-29,,,"11-50",0,,,0,,0,0,0,,,,,,,
"6631","SEVEN Inc.",,,"Operating",,2016-04-01,1,,"1-10",1,,,0,,0,0,0,,,,,,,
"6632","Startuplokal",,,"Operating",,2010-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6633","Startuppers.biz",,,"Operating",,2014-08-05,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6634","Startup Proficiency",,,"Operating",,2014-12-31,,"Innovation Management","1-10",0,,,0,,0,0,0,,,,,,,
"6635","Silicon Planet",,"San Jose, California, United States","Operating",,1997-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6636","Startup Lawyer",,,"Operating",,,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6637","Startup Tasmania",,,"Operating",,2010-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6638","Social Concepts, Inc.",,"Milpitas, California, United States","Operating",,2006-03-01,,,"11-50",0,,,0,,0,0,0,,,,,,,
"6639","StartUpper",,,"Operating",,2014-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6640","Startzentrum Zurich",,,"Operating",,1999-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6641","Skunkworks Software","Sports","Provo, Utah, United States","Operating",,,,"Sports","1-10",0,,,0,,0,0,0,,,,,,,
"6642","StartupMalaysia",,,"Operating",,2011-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6643","SPIN remote",,,"Operating",,2014-11-24,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6644","Sherpio","Software",,"Operating",,2011-06-01,,"Software","1-10",0,,,0,,0,0,0,,,,,,,
"6645","SI Technologies",,,"Operating",,2012-01-01,,,"11-50",1,,,0,,0,0,0,,,,,,,
"6646","Startup Effect",,,"Operating",,2012-01-01,,,"1-10",1,,,0,,0,0,0,,,,,,,
"6647","Startup Academy LA",,,"Operating",,2012-01-01,,,"11-50",0,,,0,,0,0,0,,,,,,,
"6648","Startup Europe Week",,,"Operating",,2015-01-01,,,"11-50",0,,,0,,0,0,0,,,,,,,
"6649","Seedair","Media and Entertainment, Community and Lifestyle, Internet Services, Mobile",,"Operating",,2012-01-01,,"Mobile, Communities, Social Media","1-10",0,,,0,,0,0,0,,,,,,,
"6650","Startup Roulette",,"Singapore, Central Region, Singapore","Operating",,2011-06-08,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6651","Startup Choice",,"Mumbai, Maharashtra, India","Operating",,2016-03-14,,,"11-50",0,,,0,,0,0,0,,,,,,,
"6652","Startup Entrepreneurs",,,"Operating",,2015-01-31,,,"11-50",0,,,0,,0,0,0,,,,,,,
"6653","SEVENIT GmbH",,,"Operating",,2007-01-01,,,"11-50",0,,,0,,0,0,0,,,,,,,
"6654","slidestaxx",,,"Operating",,2011-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6655","Selling Rank","Software",,"Operating",,,,"Enterprise Software","1-10",0,,,0,,0,0,0,,,,,,,
"6656","StartUp Lads",,"Gurgaon, Haryana, India","Operating",,2016-09-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6657","Slope45",,,"Operating",,,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6658","Sparq Tech Labs",,,"Operating",,2016-07-07,,,"11-50",0,,,0,,0,0,0,,,,,,,
"6659","SavedPlus Inc",,"Mountain View, California, United States","Operating",,2012-10-29,,,"11-50",0,,,0,,0,0,0,,,,,,,
"6660","Startup Business Advisor",,,"Operating",,2012-04-28,,"Consulting","1-10",0,,,0,,0,0,0,,,,,,,
"6661","Startup Investing","Financial Services",,"Operating",,2013-10-01,1,"Finance","11-50",0,,,0,,0,0,0,,,,,,,
"6662","Startup X",,,"Operating",,2012-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6663","Startup Workbench",,,"Operating",,2016-03-05,1,,"1-10",0,,,0,,0,0,0,,,,,,,
"6664","Sincronicidade Startup",,"Rio De Janeiro, Rio de Janeiro, Brazil","Operating",,,,"Professional Services","1-10",0,,,0,,0,0,0,,,,,,,
"6665","Solid Timesheet",,,"Operating",,2016-05-10,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6666","Schnewz",,,"Operating",,2013-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6667","SeleÃ§Ã£o Startup",,,"Operating",,2013-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6668","StockPhotoShop",,,"Operating",,2015-01-03,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6669","Start-up Experience",,,"Operating",,,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6670","startup",,,"Operating",,2014-02-12,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6671","StringChart",,,"Operating",,,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6672","token","Software, Payments, Financial Services","San Francisco, California, United States","Operating",,2015-01-01,5,"FinTech, Real Time, Payments, Software","11-50",4,2,2017-04-24,15700000,"Series A",15700000,15700000,15700000,4,1,,,,,
"6673","Tech in Asia","Media and Entertainment, Content and Publishing","Singapore, Central Region, Singapore","Operating",,2010-08-01,1630,"News, Publishing","51-100",1,5,2017-03-20,6e+06,"Series Unknown",6e+06,10390000,10390000,11,2,,,,,
"6674","TheWaveVR","Hardware, Media and Entertainment, Events, Software","Austin, Texas, United States","Operating",,2016-01-01,1,"Virtual Reality, Concerts, Digital Entertainment",,3,2,2017-04-12,4e+06,"Seed",4e+06,6500000,6500000,13,2,,,,,
"6675","TripleLift","Media and Entertainment, Data and Analytics, Sales and Marketing, Advertising","New York, New York, United States","Operating",,2012-01-09,76,"Analytics, Digital Media, Advertising","51-100",3,4,2015-06-11,10500000,"Series B",10500000,16625000,16625000,17,5,,,,,
"6676","Tiger Brokers","Internet Services, Financial Services, Lending and Investments","Beijin, Guangdong, China","Operating",,2014-01-01,,"FinTech, Stock Exchanges, Internet",,1,3,2017-03-27,1.4e+07,"Series B",1.4e+07,58600000,58600000,6,4,,,,,
"6677","Tracxn","Data and Analytics, Software","Palo Alto, California, United States","Operating",,2013-06-01,65,"Analytics, Enterprise Software, SaaS","101-250",2,4,2016-02-17,0,"Series Unknown",0,13500000,13500000,8,4,,,,,
"6678","TripleMint","Information Technology, Real Estate, Software, Sales and Marketing, Internet Services","New York, New York, United States","Operating",,2011-06-01,10,"CRM, Search Engine, Real Estate","11-50",2,8,2017-02-23,4500000,"Series A",4500000,6190000,6190000,15,1,,,,,
"6679","Teem","Data and Analytics, Software, Messaging and Telecommunications, Mobile","Salt Lake City, Utah, United States","Operating",,2012-09-01,26,"Meeting Software, Mobile, Enterprise Software, SaaS, Collaboration, Business Intelligence, Developer Tools","101-250",3,3,2016-08-17,13500000,"Series B",13500000,21500000,21500000,17,4,,,,,
"6680","Theatro","Hardware, Consumer Electronics, Mobile","Richardson, Texas, United States","Operating",,2011-01-01,32,"Mobile, Wearables","51-100",1,2,2016-01-15,0,"Series Unknown",0,8800000,8800000,5,2,,,,,
"6681","The Mobile Majority","Media and Entertainment, Data and Analytics, Sales and Marketing, Video, Mobile, Advertising","Santa Monica, California, United States","Operating",,2012-01-01,9,"Mobile, Big Data, Brand Marketing, Digital Media, Advertising, Advertising Platforms, Video, Ad Targeting","51-100",3,3,2014-06-11,8e+06,"Series Unknown",8e+06,10340000,10340000,3,0,,,,,
"6682","TinyOwl Technology","Apps, Information Technology, Food and Beverage, Software, Mobile","Mumbai, Maharashtra, India","Was Acquired",,2014-01-01,5,"Food and Beverage, Mobile, Apps, Information Technology","251-500",1,4,2015-10-30,7665775,"Series C",7665775,27665775,27665775,4,4,,,,,
"6683","tadoÂ°","Energy, Sustainability, Consumer Electronics, Real Estate","Munich, Bayern, Germany","Operating",,2011-09-01,3,"Smart Building, Home Automation, Clean Energy","11-50",3,4,2016-04-26,2.3e+07,"Series C",2.3e+07,56294621,56294621,9,1,,,,,
"6684","Trizic, Inc.","Software, Financial Services","San Francisco, California, United States","Operating",,2012-09-01,13,"Wealth Management, Software","11-50",0,5,2017-02-12,3300000,"Seed",3300000,8300001,9025001,4,1,,,,,
"6685","Tripda","Travel and Tourism, Transportation","SÃ£o Paulo, Sao Paulo, Brazil","Closed",2016-03-04,2014-05-01,62,"Transportation, Travel, Ride Sharing","51-100",4,2,2015-01-29,1.1e+07,"Series A",1.1e+07,17200000,17200000,2,1,,,,,
"6686","Trading Ticket","Software, Internet Services, Financial Services","New York, New York, United States","Operating",,2014-01-01,1,"Software, Finance, Internet",,3,3,2017-02-17,3e+06,"Seed",3e+06,7e+06,7e+06,6,3,,,,,
"6687","The Hunt","Commerce and Shopping","San Francisco, California, United States","Was Acquired",,2012-01-01,18,"E-Commerce, Consumer, Shopping","11-50",3,4,2014-04-10,1e+07,"Series B",1e+07,16200000,16200000,12,4,,,,,
"6688","Trippy","Travel and Tourism, Media and Entertainment, Content and Publishing","Manhattan Beach, California, United States","Operating",,2011-01-01,112,"Blogging Platforms, Consumer, Travel","11-50",2,2,2014-04-29,3500000,"Series A",3500000,5250000,5250000,6,1,,,,,
