"","Company.Name","Category.Groups","Headquarters.Location","Status","Closed.Date","Founded.Date","Number.of.Articles","Categories","Number.of.Employees","Number.of.Founders","Number.of.Funding.Rounds","Last.Funding.Date","Last.Funding.Amount","Last.Funding.Type","Last.Equity.Funding.Amount","Total.Equity.Funding.Amount","Total.Funding.Amount","Number.of.Investors","Number.of.Lead.Investors","Stock.Exchange","Stock.Symbol","Valuation.at.IPO","Money.Raised.at.IPO","IPO.Date"
"3195","Intrior",,,"Operating",,2015-12-01,,,"1-10",1,,,0,,0,0,0,,,,,,,
"3196","IdeasWatch",,,"Operating",,,,,,1,,,0,,0,0,0,,,,,,,
"3197","INVESTFORUM",,"Halle, Sachsen-Anhalt, Germany","Operating",,,,,,0,,,0,,0,0,0,,,,,,,
"3198","iseeireportnews","Media and Entertainment, Content and Publishing","Sydney, New South Wales, Australia","Operating",,2010-04-01,,"News, Journalism",,0,,,0,,0,0,0,,,,,,,
"3199","Ideia Labs",,,"Operating",,2014-09-01,,,"11-50",0,,,0,,0,0,0,,,,,,,
"3200","Infra Worlds","Gaming","Paris, Ile-de-France, France","Closed",2007-01-01,1999-01-01,,"Video Games",,0,1,2004-01-29,1720000,"Series A",1720000,1720000,1720000,1,0,,,,,
"3201","InnoVantage",,"Makati, Manila, Philippines","Operating",,2013-07-25,,,"11-50",0,,,0,,0,0,0,,,,,,,
"3202","IndustryMaps","Internet Services","New York, New York, United States","Operating",,2013-02-01,,"Search Engine","1-10",0,,,0,,0,0,0,,,,,,,
"3203","I/O Web Studio",,,"Operating",,2015-01-31,,,"1-10",1,,,0,,0,0,0,,,,,,,
"3204","Instaton Tech Solutions",,,"Operating",,2013-01-25,,,,0,,,0,,0,0,0,,,,,,,
"3205","Internlelo.com",,,"Operating",,2013-11-14,,,"1-10",0,,,0,,0,0,0,,,,,,,
"3206","Ideago StartUp Lab",,,"Operating",,,,,,1,,,0,,0,0,0,,,,,,,
"3207","I Love Startup",,,"Operating",,2016-03-01,,,,1,,,0,,0,0,0,,,,,,,
"3208","Inku Ventures",,,"Operating",,2016-01-01,,,,1,,,0,,0,0,0,,,,,,,
"3209","Imutex","Biotechnology, Science and Engineering, Health Care",,"Operating",,2016-01-01,,"Biotechnology, Health Diagnostics, Health Care",,0,1,2016-04-28,0,"Seed",0,20416794,20416794,2,2,,,,,
"3210","ibankconnect","Professional Services, Financial Services",,"Operating",,,,"Finance, Recruiting","1-10",0,,,0,,0,0,0,,,,,,,
"3211","Inhibi Ltd.","Software","London, England, United Kingdom","Operating",,2009-11-27,,"Software","1-10",0,,,0,,0,0,0,,,,,,,
"3212","itchwork",,"Berkeley, California, United States","Operating",,2014-02-01,,,"11-50",0,,,0,,0,0,0,,,,,,,
"3213","Inventus Law",,,"Operating",,2009-01-01,1,,"11-50",0,,,0,,0,0,0,,,,,,,
"3214","Indiana Startup",,,"Operating",,,,,"1-10",0,,,0,,0,0,0,,,,,,,
"3215","Innovative Applications","Sports",,"Operating",,2013-01-01,1,"Sports","1-10",0,,,0,,0,0,0,,,,,,,
"3216","InnoVEX",,"Taipei, T'ai-pei, Taiwan","Operating",,,,,,0,,,0,,0,0,0,,,,,,,
"3217","ICT4dev ci",,,"Operating",,,,,,0,,,0,,0,0,0,,,,,,,
"3218","IBConsulter",,"Palo Alto, California, United States","Operating",,2013-09-03,,,,0,,,0,,0,0,0,,,,,,,
"3219","Incubatr.com","Information Technology",,"Operating",,,,"Information Services",,0,,,0,,0,0,0,,,,,,,
"3220","Ingenit","Software","Secunderabad, Andhra Pradesh, India","Operating",,2007-01-01,,"Software","11-50",0,,,0,,0,0,0,,,,,,,
"3221","iiiNNO",,,"Operating",,,,,,0,,,0,,0,0,0,,,,,,,
"3222","Impulso Emprendedor",,"Spain, Europe","Operating",,,,,,0,,,0,,0,0,0,,,,,,,
"3223","IT Quests",,,"Operating",,,2,,"1-10",0,,,0,,0,0,0,,,,,,,
"3224","Inova WebSites",,"Rio De Janeiro, Rio de Janeiro, Brazil","Operating",,,,"Professional Services",,0,,,0,,0,0,0,,,,,,,
"3225","Innova StartUp",,,"Operating",,,,,,0,,,0,,0,0,0,,,,,,,
"3226","IntoBeta","Software",,"Operating",,,,"Software","1-10",0,,,0,,0,0,0,,,,,,,
"3227","ivMob",,"Riga, Riga, Latvia","Operating",,2009-04-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"3228","Innovation Squad Ltd",,,"Operating",,2014-02-27,,,"1-10",0,,,0,,0,0,0,,,,,,,
"3229","Indigo Accelerator",,,"Operating",,,,,,0,,,0,,0,0,0,,,,,,,
"3230","intantgib.ly","Professional Services",,"Operating",,,,"Employment",,0,,,0,,0,0,0,,,,,,,
"3231","itopsolution",,"Fortaleza, Mato Grosso do Sul, Brazil","Operating",,,,"Innovation Management",,0,,,0,,0,0,0,,,,,,,
"3232","Idealist",,,"Operating",,2015-03-23,,,"11-50",0,,,0,,0,0,0,,,,,,,
"3233","Iastra Developments S.A.",,,"Operating",,2003-01-10,,,,0,,,0,,0,0,0,,,,,,,
"3234","Immersive Ubiquity","Hardware, Software",,"Operating",,2013-01-01,,"Hardware, Software","1-10",0,,,0,,0,0,0,,,,,,,
"3235","Insure My Automotive","Financial Services",,"Operating",,,,"Insurance, Finance","1-10",0,,,0,,0,0,0,,,,,,,
"3236","Intersection Space",,,"Operating",,2016-04-18,,,,0,,,0,,0,0,0,,,,,,,
"3237","Indiana Venture Center",,,"Operating",,,,,,0,,,0,,0,0,0,,,,,,,
"3238","IPv17",,,"Operating",,2015-02-15,,,,0,,,0,,0,0,0,,,,,,,
"3239","Interface Communications, Inc.",,,"Operating",,2016-01-15,,,,0,,,0,,0,0,0,,,,,,,
"3240","Innvation",,,"Operating",,2015-11-01,,,,0,,,0,,0,0,0,,,,,,,
"3241","Insight Quantification",,,"Operating",,,,,"1-10",0,,,0,,0,0,0,,,,,,,
"3242","Ignite Logic",,,"Was Acquired",,2003-01-01,,,,0,,,0,,0,0,0,,,,,,,
"3243","ION Energy",,,"Operating",,2017-02-05,,,,0,,,0,,0,0,0,,,,,,,
"3244","Incunet.com",,,"Operating",,,,,,0,,,0,,0,0,0,,,,,,,
"3245","Investor - ICE211.com",,,"Operating",,2014-01-01,,,,0,,,0,,0,0,0,,,,,,,
"3246","ITC MICROFINANÃ‡AS","Financial Services",,"Operating",,,,"Financial Services",,0,,,0,,0,0,0,,,,,,,
"3247","Inside Sales On Demand",,,"Operating",,2014-06-10,,,,0,,,0,,0,0,0,,,,,,,
"3248","ionobell",,,"Operating",,,,,,0,,,0,,0,0,0,,,,,,,
"3249","Ionix Propulsion",,,"Operating",,,,,,0,1,2008-01-01,0,"Seed",0,0,0,2,2,,,,,
"3250","Interchain Solutions",,,"Operating",,,,,,0,,,0,,0,0,0,,,,,,,
"3251","ICE Interactive","Hardware, Software",,"Operating",,,,"Computer Vision",,0,,,0,,0,0,0,,,,,,,
"3252","JetSmarter","Travel and Tourism, Transportation, Internet Services","Fort Lauderdale, Florida, United States","Operating",,2012-01-01,81,"Travel, Logistics, Internet, Transportation","251-500",1,4,2016-12-12,1.05e+08,"Series C",1.05e+08,156300000,156300000,5,1,,,,,
"3253","Juno Therapeutics","Biotechnology, Science and Engineering, Health Care","Seattle, Washington, United States","IPO",,2013-01-01,287,"Health Care, Biotechnology, Therapeutics","251-500",6,3,2014-08-05,1.34e+08,"Series B",1.34e+08,3.1e+08,3.1e+08,6,3,"NASDAQ","JUNO","$1,675,700,000","$264,600,000",2014-12-19
"3254","Jibo","Science and Engineering, Hardware, Consumer Electronics, Data and Analytics, Software","Boston, Massachusetts, United States","Operating",,2012-01-01,107,"Robotics, Artificial Intelligence, Consumer Electronics, Machine Learning","11-50",2,6,2016-11-10,13099999,"Series B",13099999,72699999,72699999,18,3,,,,,
"3255","Joyus","Commerce and Shopping, Sports, Consumer Goods","San Francisco, California, United States","Operating",,2011-01-01,74,"E-Commerce, Shopping, Fitness, Beauty, Social Shopping","11-50",2,4,2015-06-04,2.4e+07,"Series C",2.4e+07,67400000,67400000,11,7,,,,,
"3256","Jumbotail","Food and Beverage, Financial Services, Lending and Investments","Bangalore, Karnataka, India","Operating",,2015-11-04,,"Venture Capital, Food and Beverage, Grocery","11-50",2,1,2016-07-12,1960000,"Seed",1960000,1960000,1960000,1,1,,,,,
"3257","Jellynote","Science and Engineering, Media and Entertainment, Music and Audio, Data and Analytics, Software, Education","Paris, Ile-de-France, France","Operating",,2012-06-01,3,"Artificial Intelligence, Music, Education","11-50",3,6,2017-03-14,8e+05,"Seed",8e+05,3170000,3170000,5,1,,,,,
"3258","Jobbatical","Professional Services, Education","Tallinn, Harjumaa, Estonia","Operating",,2014-03-04,11,"Skill Assessment, Employment, Professional Services","11-50",4,4,2016-11-21,1e+06,"Seed",1e+06,3902242,3902242,15,3,,,,,
"3259","JARVISH INC.","Science and Engineering, Hardware, Consumer Electronics, Data and Analytics, Software, Internet Services","Taipei, T'ai-pei, Taiwan","Operating",,2014-04-24,,"Artificial Intelligence, Internet of Things, Augmented Reality, Wearables","11-50",2,1,2015-07-01,1e+06,"Angel",1e+06,1e+06,1e+06,5,0,,,,,
"3260","Javelin","Financial Services","London, England, United Kingdom","Operating",,,3,"Finance","1-10",3,2,2014-03-05,1500000,"Series Unknown",1500000,1500000,1500000,6,1,,,,,
"3261","Joyride","Media and Entertainment, Music and Audio, Transportation, Mobile","Palo Alto, California, United States","Operating",,2013-01-01,14,"Mobile, Automotive, Audio","11-50",3,1,2013-03-25,1e+06,"Seed",1e+06,1e+06,1e+06,3,0,,,,,
"3262","Justuno.com","Commerce and Shopping, Media and Entertainment, Sales and Marketing, Internet Services","San Francisco, California, United States","Operating",,2010-12-22,,"Social Media, E-Commerce, Coupons, Social Media Marketing, Lead Generation, Email Marketing","1-10",2,1,2015-09-30,2e+05,"Debt Financing",0,0,2e+05,1,0,,,,,
"3263","Jybe","Media and Entertainment, Internet Services, Mobile","Menlo Park, California, United States","Was Acquired",,2011-01-01,16,"Mobile, Social Media","1-10",1,1,2011-02-22,250250,"Seed",250250,250250,250250,,,,,,,
"3264","Jacked","Media and Entertainment, Software, Sports, Sales and Marketing, Internet Services, Video, Content and Publishing, Advertising","Santa Monica, California, United States","Was Acquired",,2006-06-01,31,"Web Development, News, Advertising, Sports, Photography, Developer Tools, Video, Search Engine","11-50",3,3,2008-10-01,2500000,"Series B",2500000,9e+06,9e+06,4,0,,,,,
"3265","JumpSoft","Information Technology, Data and Analytics, Software","Reston, Virginia, United States","Operating",,2009-04-08,,"Information Technology, Enterprise Software, Application Performance Management","1-10",0,1,2013-07-26,1800000,"Seed",1800000,1800000,1800000,,,,,,,
"3266","JazzD Markets","Hardware, Information Technology, Internet Services, Messaging and Telecommunications","Ephrata, Pennsylvania, United States","Closed",2010-08-12,2008-01-01,,"Telecommunications, Messaging, VoIP","10001+",0,1,2008-06-01,8e+06,"Series A",8e+06,8e+06,8e+06,2,2,,,,,
"3267","JstJobs","Professional Services, Internet Services","Mumbai, Maharashtra, India","Operating",,2014-04-11,,"Employment, Search Engine","11-50",1,2,2015-03-31,5e+05,"Seed",5e+05,7e+05,7e+05,,,,,,,
"3268","Joychuang","Apps, Software","Beijing, Beijing, China","Operating",,,1,"Apps",,1,1,2015-05-21,2400000,"Seed",2400000,2400000,2400000,1,0,,,,,
"3269","Jymob","Professional Services","Sunnyvale, California, United States","Operating",,2012-01-01,,"Recruiting","11-50",2,1,2012-07-01,28000,"Seed",28000,28000,28000,1,0,,,,,
"3270","JuicyCampus","Information Technology, Internet Services, Messaging and Telecommunications","Los Angeles, California, United States","Closed",2009-02-04,2007-08-01,16,"Messaging",,0,,,0,,0,0,0,,,,,,,
"3271","JAVA Hi-Fi",,"Auckland, Auckland, New Zealand","Operating",,2016-07-17,,,"1-10",0,,,0,,0,0,0,,,,,,,
"3272","JUNTA.CL","Commerce and Shopping","Santiago, Region Metropolitana, Chile","Operating",,2013-12-10,,"E-Commerce","1-10",1,1,2012-04-10,40000,"Seed",40000,40000,40000,1,0,,,,,
"3273","Julius Finance","Financial Services","New York, New York, United States","Operating",,2008-01-01,,"Finance",,0,1,2008-07-17,1e+06,"Seed",1e+06,1e+06,1e+06,,,,,,,
"3274","Jobalaya","Software, Professional Services","Taipei, T'ai-pei, Taiwan","Operating",,2016-08-01,,"SaaS, Recruiting, Software, Human Resources","1-10",3,,,0,,0,0,0,,,,,,,
"3275","Jet Cooper","Apps, Software, Sales and Marketing, Internet Services, Design, Mobile, Advertising","Toronto, Ontario, Canada","Was Acquired",,2009-01-01,12,"Internet, Apps, Product Design, Advertising, Mobile",,1,,,0,,0,0,0,,,,,,,
"3276","Joroto","Platforms, Software, Mobile","Cleveland, Ohio, United States","Operating",,2008-05-01,,"Web Development, iOS","1-10",2,1,2009-08-09,16000,"Debt Financing",0,0,16000,,,,,,,
"3277","Jump or Fall","Gaming, Software","Tallinn, Harjumaa, Estonia","Operating",,2013-01-01,,"Gaming, Video Games, Web Development","1-10",3,1,2014-02-01,0,"Seed",0,20265,20265,1,0,,,,,
"3278","jotima","Platforms, Community and Lifestyle, Software, Sales and Marketing, Internet Services, Mobile, Advertising","Mainz, Rheinland-Pfalz, Germany","Operating",,2012-06-10,,"Android, Web Development, Internet, Advertising, Private Social Networking, Advertising Platforms, iOS","1-10",2,1,2013-01-01,0,"Seed",0,66023,66023,,,,,,,
"3279","Job Change Notifier","Information Technology, Professional Services, Internet Services, Messaging and Telecommunications","San Francisco, California, United States","Closed",,2011-01-01,2,"Email, Employment, Recruiting","51-100",0,,,0,,0,0,0,,,,,,,
"3280","Jack Your StartUp",,"Hyderabad, Andhra Pradesh, India","Operating",,,,,,0,,,0,,0,0,0,,,,,,,
"3281","Jerusalem Startup Hub","Media and Entertainment, Real Estate, Events, Financial Services, Lending and Investments","Jerusalem, Yerushalayim, Israel","Closed",2015-08-01,2012-09-01,,"Events, Coworking, Incubators","1-10",3,,,0,,0,0,0,,,,,,,
"3282","Jubel","Travel and Tourism, Community and Lifestyle","Moscow, Moscow City, Russian Federation","Operating",,2016-02-01,6,"Travel, Lifestyle","1-10",1,,,0,,0,0,0,,,,,,,
"3283","JumpStartFund","Financial Services","El Segundo, California, United States","Operating",,2002-01-01,24,"Finance","51-100",1,,,0,,0,0,0,,,,,,,
"3284","Jacently","Platforms, Commerce and Shopping, Navigation and Mapping, Data and Analytics, Software, Internet Services, Mobile","London, England, United Kingdom","Operating",,2013-01-01,,"E-Commerce, Location Based Services, Small and Medium Businesses, Android, Mobile, iOS, Software","1-10",0,,,0,,0,0,0,,,,,,,
"3285","Jefto","Media and Entertainment, Data and Analytics, Events, Sales and Marketing, Advertising","Powai, Assam, India","Closed",2015-08-13,2015-06-15,,"Advertising, Analytics, Brand Marketing, Events","1-10",4,,,0,,0,0,0,,,,,,,
"3286","Jabeklah","Mobile","Casablanca, Grand Casablanca, Morocco","Operating",,2012-10-01,4,"Mobile","1-10",1,,,0,,0,0,0,,,,,,,
"3287","J-Seed Ventures","Financial Services, Lending and Investments","Tokyo, Tokyo, Japan","Operating",,2000-02-01,10,"Venture Capital","11-50",1,,,0,,0,0,0,,,,,,,
"3288","Joe Button","Commerce and Shopping","Sydney, New South Wales, Australia","Operating",,2010-01-01,,"E-Commerce","1-10",3,,,0,,0,0,0,,,,,,,
"3289","Jaaga","Real Estate, Community and Lifestyle, Professional Services","Bangalore, Karnataka, India","Operating",,,1,"Freelance, Coworking, Communities","11-50",1,,,0,,0,0,0,,,,,,,
"3290","Jiyo Natural","Food and Beverage, Health Care","Bangalore, Karnataka, India","Operating",,2014-03-01,1,"Food Processing, Nutrition","11-50",3,1,2015-10-21,0,"Seed",0,0,0,1,0,,,,,
"3291","Jitbit Software","Software","Edinburgh, Edinburgh, City of, United Kingdom","Operating",,2005-06-18,1,"Customer Service, Software","1-10",2,,,0,,0,0,0,,,,,,,
"3292","Jolkona",,"Seattle, Washington, United States","Operating",,2008-01-01,2,"Non Profit, Charity","11-50",2,,,0,,0,0,0,,,,,,,
"3293","JKL Technologies",,"Chennai, Tamil Nadu, India","Operating",,2012-07-01,1,"SaaS","1-10",1,,,0,,0,0,0,,,,,,,
"3294","Joy Travels","Commerce and Shopping, Media and Entertainment","New Delhi, Delhi, India","Operating",,1984-12-15,3,"E-Commerce, In-Flight Entertainment","11-50",0,,,0,,0,0,0,,,,,,,
"3295","JasperLabs","Software, Sales and Marketing, Internet Services, Advertising","San Francisco, California, United States","Was Acquired",,2009-01-01,4,"Internet, Advertising, Software","1-10",0,,,0,,0,0,0,,,,,,,
"3296","JJLEE COMPANY","Events, Community and Lifestyle, Financial Services, Lending and Investments, Mobile","Seoul, Seoul-t'ukpyolsi, South Korea","Operating",,2014-01-29,4,"Wedding, Mobile, Incubators",,0,,,0,,0,0,0,,,,,,,
"3297","Jobstanzania","Sales and Marketing, Professional Services, Advertising","Mwanza, Mwanza, Tanzania","Operating",,2009-05-10,1,"Advertising, Employment, Career Planning","1-10",1,,,0,,0,0,0,,,,,,,
"3298","JuanBill","Software, Financial Services",,"Operating",,2015-01-01,,"FinTech, Enterprise Software",,4,,,0,,0,0,0,,,,,,,
"3299","JackTheDonkey.com","Community and Lifestyle, Internet Services","Toronto, Ontario, Canada","Operating",,2008-11-01,,"Internet, Humanitarian","1-10",1,,,0,,0,0,0,,,,,,,
"3300","Jackson Ross PLLC","Professional Services, Financial Services, Lending and Investments","New York, New York, United States","Operating",,2013-01-01,,"Non Profit, Legal, Venture Capital","1-10",1,,,0,,0,0,0,,,,,,,
"3301","JetStrm",,"New York, New York, United States","Operating",,2016-01-04,,"Business Development, Small and Medium Businesses","1-10",1,,,0,,0,0,0,,,,,,,
"3302","Junge GrÃ¼nder","Media and Entertainment, Internet Services","Berlin, Berlin, Germany","Operating",,2011-11-01,,"Social Network, Digital Media, Social Media","1-10",1,,,0,,0,0,0,,,,,,,
"3303","Job4Joe","Media and Entertainment, Information Technology, Professional Services, Education, Video, Privacy and Security","Mountain View, California, United States","Operating",,2011-09-01,,"Video, Identity Management, Education, Employment","1-10",1,,,0,,0,0,0,,,,,,,
"3304","Jnuine","Apps, Software","Paris, Ile-de-France, France","Operating",,,,"Apps","1-10",1,,,0,,0,0,0,,,,,,,
"3305","Joyray Tech","Hardware, Consumer Electronics","Los Angeles, California, United States","Operating",,2014-01-01,,"Consumer Electronics, Children, Wearables",,1,,,0,,0,0,0,,,,,,,
"3306","Jomi","Hardware, Software",,"Operating",,2012-11-02,1,"Software, Hardware","1-10",2,,,0,,0,0,0,,,,,,,
"3307","Javeline","Data and Analytics, Software","New York, New York, United States","Operating",,,,"Business Development, Business Intelligence, Enterprise Software","1-10",2,,,0,,0,0,0,,,,,,,
"3308","Just Jobs",,"New Delhi, Delhi, India","Operating",,2016-08-01,,,"11-50",0,,,0,,0,0,0,,,,,,,
"3309","JobFluent","Professional Services","Barcelona, Catalonia, Spain","Operating",,,,"Career Planning, Employment, Recruiting","1-10",1,,,0,,0,0,0,,,,,,,
"3310","JARLA Group","Financial Services, Lending and Investments","New York, New York, United States","Operating",,2011-01-01,,"Venture Capital","51-100",0,,,0,,0,0,0,,,,,,,
"3311","Jireh Software Solutions","Commerce and Shopping, Software, Sales and Marketing, Internet Services, Mobile","Bangalore, Karnataka, India","Operating",,2010-10-19,,"Web Development, Software, E-Commerce, SEO, Mobile","11-50",0,,,0,,0,0,0,,,,,,,
"3312","Junction TV","Media and Entertainment, Software, Video, Content and Publishing","Santa Clara, California, United States","Operating",,2013-01-01,,"Video Streaming, Software","11-50",0,,,0,,0,0,0,,,,,,,
"3313","jobsBCN","Administrative Services","Barcelona, Catalonia, Spain","Was Acquired",,2015-01-01,,"Staffing Agency","1-10",0,,,0,,0,0,0,,,,,,,
"3314","JLC Veterinary Service","Health Care","Elgin, Texas, United States","Operating",,2013-09-01,,"Medical","1-10",0,1,2013-11-15,0,"Equity Crowdfunding",0,0,0,,,,,,,
"3315","JoinGiving","Commerce and Shopping","Chicago, Illinois, United States","Operating",,2014-01-01,,"E-Commerce","1-10",0,,,0,,0,0,0,,,,,,,
"3316","Jowba","Professional Services, Internet Services",,"Closed",2008-07-01,2007-11-01,3,"Employment, Internet, Human Resources","1-10",0,,,0,,0,0,0,,,,,,,
"3317","Jerpix Games",,"San Francisco, California, United States","Operating",,2013-01-01,,,"1-10",1,,,0,,0,0,0,,,,,,,
"3318","JobAlchemist","Professional Services, Internet Services",,"Operating",,,1,"Recruiting, Human Resources, Internet",,2,,,0,,0,0,0,,,,,,,
"3319","JW Technology","Real Estate",,"Closed",2013-01-01,2012-08-01,,"Construction","1-10",1,,,0,,0,0,0,,,,,,,
"3320","JettaPlus Ltd",,,"Operating",,2016-01-11,,,"1-10",1,,,0,,0,0,0,,,,,,,
"3321","Jobs In Tech",,"San Francisco, California, United States","Operating",,,,"Consulting",,0,,,0,,0,0,0,,,,,,,
"3322","Jetivity LLC",,"Castle Rock, Colorado, United States","Operating",,2014-06-16,3,,"1-10",0,,,0,,0,0,0,,,,,,,
"3323","JANTA SOLUTIONS",,"Kochi, Kerala, India","Operating",,2016-01-01,,,"1-10",1,,,0,,0,0,0,,,,,,,
"3324","Jumpstart",,"Hong Kong, Hong Kong Island, Hong Kong","Operating",,2014-01-01,,,"11-50",0,,,0,,0,0,0,,,,,,,
"3325","JF2",,"Singapore, Central Region, Singapore","Operating",,,,,"1-10",0,,,0,,0,0,0,,,,,,,
"3326","Joiby Games",,,"Operating",,2014-01-01,,,,1,,,0,,0,0,0,,,,,,,
"3327","JCube",,"Italy, Europe","Operating",,,,,"1-10",0,,,0,,0,0,0,,,,,,,
"3328","Just Fearless",,,"Operating",,,,,,1,,,0,,0,0,0,,,,,,,
"3329","Juice Maker","Food and Beverage",,"Operating",,,,"Organic Food","1-10",0,,,0,,0,0,0,,,,,,,
"3330","JOCKY",,"Singapore, Asia","Operating",,2015-05-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"3331","JYJZ.com",,,"Operating",,2013-01-11,,,,1,,,0,,0,0,0,,,,,,,
"3332","Jamkain Media Ventures","Internet Services",,"Operating",,2015-09-01,,"Internet","11-50",1,,,0,,0,0,0,,,,,,,
"3333","Jamboo mobile","Software","SÃ£o GonÃ§alo, Rio de Janeiro, Brazil","Operating",,,,"Enterprise Software",,0,,,0,,0,0,0,,,,,,,
"3334","jaeyos","Manufacturing, Science and Engineering, Hardware, Software",,"Operating",,2014-01-01,1,"Mechanical Engineering, Robotics, Manufacturing",,0,,,0,,0,0,0,,,,,,,
"3335","Jadoo Technologies","Science and Engineering","San Francisco, California, United States","Operating",,2011-01-01,,"Nanotechnology",,0,1,2014-06-01,0,"Non-equity Assistance",0,0,0,1,0,,,,,
"3336","Joly Ventures",,,"Operating",,,,,,1,,,0,,0,0,0,,,,,,,
"3337","JVP Media studio",,,"Operating",,,,,,0,,,0,,0,0,0,,,,,,,
"3338","Jamie Brown",,,"Operating",,2014-08-01,,,,0,,,0,,0,0,0,,,,,,,
"3339","Junto Partners",,,"Operating",,2004-01-01,,,,1,,,0,,0,0,0,,,,,,,
"3340","JL Accounts Management",,,"Operating",,,,,"1-10",0,,,0,,0,0,0,,,,,,,
"3341","JUBILEE WORKS, INC",,,"Operating",,2014-09-01,,,,0,,,0,,0,0,0,,,,,,,
"3342","Jacidy.com",,,"Operating",,,,,,0,1,2017-01-01,0,"Non-equity Assistance",0,0,0,1,0,,,,,
"3343","JEDIGITALISE",,,"Operating",,2017-02-01,,,,0,,,0,,0,0,0,,,,,,,
"3344","Katerra","Transportation","Scottsdale, Arizona, United States","Operating",,2015-01-01,,"Procurement, Logistics, Supply Chain Management","11-50",1,2,2017-04-13,1.3e+08,"Series C",1.3e+08,205573028,205573028,6,1,,,,,
"3345","KeyMe","Hardware, Commerce and Shopping, Software","New York, New York, United States","Operating",,2012-01-01,30,"E-Commerce, Hardware, Enterprise Software","11-50",1,7,2016-12-07,2.5e+07,"Series D",2.5e+07,70400000,75775000,17,4,,,,,
"3346","Kuli Kuli","Health Care","Oakland, California, United States","Operating",,2011-09-21,22,"Nutrition, Health Care","11-50",4,3,2017-01-11,4250000,"Series A",4250000,5350000,5350000,9,1,,,,,
"3347","Komprise","Hardware, Information Technology, Software, Internet Services","Campbell, California, United States","Operating",,2014-01-02,9,"SaaS, Software, Cloud Data Services, Data Storage","51-100",2,2,2017-02-14,1.2e+07,"Series B",1.2e+07,1.8e+07,1.8e+07,4,2,,,,,
"3348","KeepTruckin","Transportation","San Francisco, California, United States","Operating",,2013-01-01,6,"SaaS, Logistics, Fleet Management, Public Transportation","11-50",3,2,2015-10-29,8e+06,"Series A",8e+06,10300000,10300000,6,1,,,,,
"3349","KiwiTech","Apps, Information Technology, Software, Mobile","Washington, District of Columbia, United States","Operating",,2009-01-01,21,"Information Technology, Software, Mobile Apps, Enterprise Software, Web Development, Enterprise Applications, Web Apps",,2,4,2015-09-09,2875047,"Series Unknown",2875047,4700047,4700047,,,,,,,
"3350","Keaton Row","Commerce and Shopping, Design","New York, New York, United States","Operating",,2012-04-16,14,"Fashion, Marketplace, E-Commerce","11-50",2,5,2015-06-17,8670599,"Series Unknown",8670599,17270599,18853099,10,3,,,,,
"3351","Kite & Lightning","Hardware, Software","Los Angeles, California, United States","Operating",,2013-01-01,1,"Virtual Reality","1-10",2,1,2016-07-26,2500000,"Seed",2500000,2500000,2500000,7,1,,,,,
"3352","Kaiima","Agriculture and Farming, Biotechnology, Science and Engineering, Food and Beverage","Kfar Tavor, HaZafon, Israel","Operating",,2006-01-01,3,"Biotechnology, Agriculture, Organic Food, AgTech","51-100",1,3,2013-08-19,6.5e+07,"Series Unknown",6.5e+07,1.33e+08,1.33e+08,13,4,,,,,
"3353","KnuEdge","Science and Engineering, Information Technology","San Diego, California, United States","Operating",,2005-01-01,9,"Information Services, Information Technology, Aerospace","11-50",1,2,2014-01-01,5e+06,"Series Unknown",5e+06,1.7e+07,1.7e+07,2,0,,,,,
"3354","Krablr","Agriculture and Farming, Apps, Commerce and Shopping, Software, Mobile","Powell, Ohio, United States","Operating",,2013-01-01,1,"Price Comparison, Mobile Apps, Farming","1-10",2,2,2014-04-01,5e+06,"Series A",5e+06,8e+06,8e+06,5,1,,,,,
"3355","Konversai Inc.","Media and Entertainment, Software, Education, Video","Los Altos, California, United States","Operating",,2015-01-01,,"E-Learning, Video, Education",,2,1,2016-11-18,1300000,"Seed",1300000,1300000,1300000,,,,,,,
"3356","Kior","Natural Resources, Energy","Pasadena, Texas, United States","IPO",,2007-01-01,47,"Energy, Oil and Gas, Fuel","251-500",1,5,2013-10-21,1e+08,"Post-IPO Equity",1e+08,224320000,299320000,3,2,"NASDAQ","KIOR","$587,000,000","$150,000,000",2011-07-24
"3357","Koto Labs","Hardware, Consumer Electronics, Software, Health Care, Internet Services","Ljubljana, Ljubljana Urban Commune, Slovenia","Operating",,2013-01-01,28,"Hardware, Health Care, Internet of Things, Software, Consumer Electronics","1-10",2,2,2015-09-28,17000,"Product Crowdfunding",17000,717000,717000,3,0,,,,,
"3358","Koan","Software, Financial Services, Lending and Investments","Portland, Oregon, United States","Operating",,2016-03-10,,"Finance, Venture Capital, Enterprise Software",,2,1,2016-08-01,2e+06,"Seed",2e+06,2e+06,2e+06,,,,,,,
"3359","Kampyle","Data and Analytics, Software","Ramat Gan, Tel Aviv, Israel","Was Acquired",,2007-04-01,22,"Analytics, Customer Service, Enterprise Software","11-50",2,1,2009-01-01,1e+06,"Series A",1e+06,1e+06,1e+06,1,1,,,,,
